"Evaporation","Sunshine","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","RainTomorrow","Month"
2.8,7,37,35,60,38,1006.8,1010.3,"0","July"
5.2,4,30,35,66,52,1013.4,1016.2,"1","July"
2,0.8,17,24,72,58,1024.8,1024.3,"0","July"
1.8,4.2,9,7,87,49,1030.2,1029,"0","July"
0.8,8.4,24,30,81,52,1028.9,1024.9,"0","July"
2.8,3,31,44,68,48,1023.1,1020.1,"0","July"
3,1,28,22,73,63,1016.3,1012.9,"1","July"
1.2,0.3,13,11,80,71,1017.1,1017,"1","July"
0.4,6.5,11,17,95,61,1023.1,1019.6,"1","July"
2.2,7,15,46,87,33,1009.4,1006.7,"0","July"
1.8,5.6,26,26,71,56,1016.3,1018.5,"0","July"
2,0,22,46,68,53,1023.2,1018.5,"0","July"
3.8,4.2,33,44,49,55,1017.1,1014.4,"0","July"
2.6,9.4,7,26,78,24,1017.4,1016.2,"0","July"
2.8,3.4,17,24,70,51,1019.9,1018.2,"0","July"
2.6,8.3,19,30,86,55,1022.2,1018.7,"0","July"
1.8,1,35,30,70,47,1013.5,1009.2,"0","July"
1.8,2.1,20,19,87,70,1008.2,1009,"1","July"
1.4,1.4,33,43,74,55,1012.5,1009.2,"0","July"
4.6,0.1,43,39,63,60,1004.4,1001.5,"1","July"
2.4,4.9,31,35,78,44,1011.7,1017.7,"1","July"
1.6,4.4,15,13,78,62,1029,1029.2,"0","July"
1.2,1.4,0,17,85,77,1034.1,1031.9,"0","July"
1,9.7,11,17,95,39,1031.2,1026.2,"0","July"
2,9.5,20,24,78,46,1024.8,1020.4,"0","July"
2,4,24,20,79,54,1017.3,1013.7,"1","July"
2,0,11,13,91,80,1013.5,1012.5,"1","July"
1,8.1,9,24,71,61,1021.6,1021.4,"0","July"
1.2,7.6,11,6,84,45,1023,1017.6,"0","July"
1.4,7.5,28,31,76,41,1015.5,1012.1,"0","July"
3.2,4.7,41,41,64,46,1011.6,1006.9,"0","July"
3.8,5.2,28,43,70,67,999.7,1001.5,"0","August"
3,6,19,26,78,55,1015.9,1016.1,"0","August"
1.4,5,22,30,69,54,1019.2,1015.7,"0","August"
2.8,1,17,26,61,52,1017.7,1018.1,"0","August"
2,7.7,6,20,81,55,1024.4,1022.8,"0","August"
1.8,7.6,13,17,89,43,1021.7,1017,"0","August"
1.8,5.7,2,15,70,52,1017.6,1017,"0","August"
2.2,8,19,24,61,41,1021.8,1018.9,"1","August"
2.8,7.6,17,22,73,44,1021,1016.7,"1","August"
1.6,2.4,19,24,83,66,1013.9,1013,"1","August"
2,5.2,19,30,75,57,1020.1,1019.7,"0","August"
1.8,4.5,13,26,60,69,1020.2,1019,"1","August"
2,8.4,24,31,68,48,1027.1,1025.8,"0","August"
1.6,3.7,31,39,75,65,1025.1,1021.7,"0","August"
2.2,1.4,26,19,77,80,1018.5,1015.9,"1","August"
3.6,2.5,28,28,87,60,1017.6,1018.9,"1","August"
1.4,2.8,24,17,83,56,1025.6,1025.3,"0","August"
1.4,7.1,24,20,76,55,1026.8,1025.9,"0","August"
2.4,6.1,30,28,68,46,1026.8,1023.1,"0","August"
3,0.7,30,33,61,43,1022.4,1019.2,"0","August"
3,0,9,13,74,86,1018.3,1018.7,"1","August"
1,5.7,17,31,65,55,1025.3,1025.7,"0","August"
1.6,5.7,19,11,83,59,1030.2,1029.1,"0","August"
0.8,0.2,17,9,75,46,1031.9,1029.8,"0","August"
1.6,5.1,19,26,75,48,1028.1,1023.5,"0","August"
3.2,6,28,26,45,32,1020.9,1021.1,"0","August"
2.6,5.8,9,19,67,60,1030.3,1029.2,"0","August"
1.6,2.9,6,13,77,63,1030.5,1027.1,"0","August"
1.4,10,19,22,81,32,1025.8,1020.9,"0","August"
4,1.9,37,41,51,46,1015.7,1009.7,"0","August"
2.2,3.6,19,46,68,69,1007,1007.2,"0","August"
4.2,7.8,13,33,66,40,1020,1018.8,"0","September"
3.8,4.9,11,17,77,55,1025.8,1027.2,"0","September"
3.4,10.4,22,24,46,44,1035.6,1033.5,"0","September"
3,6.5,4,13,78,43,1034.4,1029.2,"0","September"
2.4,1.2,17,15,70,36,1026.1,1022.1,"0","September"
2.6,7.3,7,17,65,45,1021.9,1018.4,"0","September"
2.2,5.6,15,28,74,67,1020,1019,"0","September"
1.6,6.3,19,28,51,47,1025,1025.2,"0","September"
3,0.3,13,17,47,43,1028.2,1025.9,"0","September"
2.2,9.2,7,17,62,29,1022.8,1017.2,"0","September"
5,5.7,46,39,32,24,1014.8,1009.9,"0","September"
11.4,6.9,65,39,36,31,1004.2,1000.6,"0","September"
6.4,10.7,43,39,45,27,1008.6,1003.7,"0","September"
9.2,6.5,35,26,42,27,1001.8,1003.5,"0","September"
8.4,4.9,39,33,57,61,998.5,998.7,"1","September"
3.8,7.1,30,13,57,53,1018.7,1021.7,"0","September"
2.8,10.7,11,19,61,37,1026,1020.9,"0","September"
4.6,3.8,37,41,45,29,1016.5,1011.6,"0","September"
7.4,5.4,44,31,36,25,1008.4,1003.5,"0","September"
7.4,7.9,31,33,54,26,1008.4,1008.9,"0","September"
4.2,10.6,26,46,48,32,1015.8,1010.9,"0","September"
10.6,3.8,56,31,31,85,1000.3,1000.1,"1","September"
4.4,9.3,39,28,58,34,1018.2,1020.4,"0","September"
3,10.1,19,17,64,43,1031.5,1028.4,"0","September"
4.8,11.1,37,43,41,22,1028.1,1021.3,"0","September"
10,9.1,35,28,41,13,1019.7,1014.7,"0","September"
8.2,10.3,9,20,64,39,1016.9,1009.5,"0","September"
5.8,7.4,20,26,55,35,1014.7,1011.8,"0","September"
6,5.9,24,17,58,42,1019.6,1019.6,"0","September"
